iter	MultiClass
0	1.597439144
1	1.586263792
2	1.575812997
3	1.566166014
4	1.555262804
5	1.543752085
6	1.533160599
7	1.523442501
8	1.512729907
9	1.50017682
10	1.487908429
11	1.477597753
12	1.465909276
13	1.455326697
14	1.444154627
15	1.434436442
16	1.42457752
17	1.417122177
18	1.406409108
19	1.396079653
20	1.384397111
21	1.374939597
22	1.364628105
23	1.356508957
24	1.347022135
25	1.337705751
26	1.328511263
27	1.318036968
28	1.308903453
29	1.300165898
30	1.290909902
31	1.282137689
32	1.274327015
33	1.266271924
34	1.256492577
35	1.246096951
36	1.236401867
37	1.22837704
38	1.219265162
39	1.210381033
40	1.202283651
41	1.192265198
42	1.183511337
43	1.176350765
44	1.168432452
45	1.160274768
46	1.151883559
47	1.143577384
48	1.135079293
49	1.126869595
50	1.119539147
51	1.113201372
52	1.105076256
