iter	Passed	Remaining
0	65	32919
1	73	18391
2	82	13612
3	87	10905
4	94	9381
5	101	8375
6	107	7584
7	113	6981
8	119	6510
9	125	6163
10	134	5963
11	140	5705
12	146	5479
13	152	5283
14	158	5115
15	164	4964
16	170	4847
17	176	4729
18	182	4615
19	188	4512
20	193	4412
21	198	4323
22	204	4248
23	210	4171
24	215	4102
25	221	4040
26	227	3987
27	233	3929
28	238	3878
29	244	3830
30	249	3782
31	256	3744
32	261	3703
33	267	3663
34	273	3632
35	279	3600
36	284	3562
37	290	3537
38	296	3503
39	301	3471
40	307	3446
41	313	3418
42	319	3393
43	324	3366
44	330	3339
45	335	3311
46	341	3289
47	347	3268
48	352	3247
49	358	3225
50	364	3205
51	369	3186
52	375	3166
